[2025-06-29 12:40:30,728: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 12:40:58,497: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 12:40:58,512: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 12:40:58,512: INFO: common: created direactory as :artifacts]
[2025-06-29 12:40:58,519: INFO: common: created direactory as :artifacts/data_ingestion]
[2025-06-29 12:43:07,018: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 12:43:07,018: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 12:43:07,026: INFO: common: created direactory as :artifacts]
[2025-06-29 12:43:07,033: INFO: common: created direactory as :artifacts/data_ingestion]
[2025-06-29 12:43:13,422: INFO: 2528595678: File is downloaded]
[2025-06-29 13:12:48,168: INFO: main: Stage Data Ingestion stage initiated]
[2025-06-29 13:12:48,168: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 13:12:48,168: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 13:12:48,168: INFO: common: created direactory as :artifacts]
[2025-06-29 13:12:48,176: INFO: common: created direactory as :artifacts/data_ingestion]
[2025-06-29 13:12:53,122: INFO: data_ingestion: File is downloaded]
[2025-06-29 13:12:53,457: INFO: main: Stage Data Ingestion stage Completed]
[2025-06-29 14:14:25,812: INFO: config: PyTorch version 2.7.1 available.]
[2025-06-29 15:25:55,059: INFO: config: PyTorch version 2.7.1 available.]
[2025-06-29 15:26:04,894: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 15:26:04,919: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 15:26:04,926: INFO: common: created direactory as :artifacts]
[2025-06-29 15:26:40,674: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 15:26:40,685: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 15:26:40,689: INFO: common: created direactory as :artifacts]
[2025-06-29 15:26:40,692: INFO: common: created direactory as :artifacts/data_transformation]
[2025-06-29 15:27:32,280: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 15:27:32,286: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 15:27:32,289: INFO: common: created direactory as :artifacts]
[2025-06-29 15:27:32,295: INFO: common: created direactory as :artifacts/data_transformation]
[2025-06-29 15:29:40,873: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 15:29:40,879: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 15:29:40,883: INFO: common: created direactory as :artifacts]
[2025-06-29 15:29:40,883: INFO: common: created direactory as :artifacts/data_transformation]
[2025-06-29 15:30:51,508: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 15:30:51,515: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 15:30:51,520: INFO: common: created direactory as :artifacts]
[2025-06-29 15:30:51,521: INFO: common: created direactory as :artifacts/data_transformation]
[2025-06-29 15:31:03,380: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 15:31:03,386: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 15:31:03,389: INFO: common: created direactory as :artifacts]
[2025-06-29 15:31:03,393: INFO: common: created direactory as :artifacts/data_transformation]
[2025-06-29 15:33:25,612: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 15:33:25,616: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 15:33:25,620: INFO: common: created direactory as :artifacts]
[2025-06-29 15:33:25,623: INFO: common: created direactory as :artifacts/data_transformation]
[2025-06-29 15:33:37,635: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 15:33:37,641: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 15:33:37,645: INFO: common: created direactory as :artifacts]
[2025-06-29 15:33:37,647: INFO: common: created direactory as :artifacts/data_transformation]
[2025-06-29 15:35:17,476: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-29 15:35:17,480: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-29 15:35:17,480: INFO: common: created direactory as :artifacts]
[2025-06-29 15:35:17,493: INFO: common: created direactory as :artifacts/data_transformation]
[2025-06-30 23:45:27,525: INFO: config: PyTorch version 2.7.1 available.]
[2025-06-30 23:45:31,065: INFO: main: Stage Data Ingestion stage initiated]
[2025-06-30 23:45:31,071: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-30 23:45:31,086: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-30 23:45:31,091: INFO: common: created direactory as :artifacts]
[2025-06-30 23:45:31,091: INFO: common: created direactory as :artifacts/data_ingestion]
[2025-06-30 23:45:31,092: INFO: data_ingestion: File already exists]
[2025-06-30 23:45:31,318: INFO: main: Stage Data Ingestion stage Completed]
[2025-06-30 23:45:31,318: INFO: main: Stage Data Transformation stage initiated]
[2025-06-30 23:45:31,318: INFO: common: yaml file :config\config.yaml loaded_successfully]
[2025-06-30 23:45:31,318: INFO: common: yaml file :params.yaml loaded_successfully]
[2025-06-30 23:45:31,318: INFO: common: created direactory as :artifacts]
[2025-06-30 23:45:31,318: INFO: common: created direactory as :artifacts/data_transformation]
[2025-06-30 23:45:57,905: INFO: main: Stage Data Transformation stage Completed]
